"HolderAddress","Balance","PendingBalanceUpdate"
"0xdfe7772e8647cf105c15da6319efd64c8d4fb12d","75101.944","No"
"0xdfec63bd2550ea1b521c86bee1c7c8140ace4f21","9300","No"
"0xdfec72826bb4af87c42d03bb0959aeb73efe5921","10","No"
"0xdfed706512d0a4a7666718be335dbd968da4b4fb","500","No"
"0xdfedecd824ba1901269c81e0c7a636d41dcdeec7","1659.5641","No"
"0xdfee5e92d23401df442c8083c5028a1d71d60b90","35270.3738","No"
"0xdfeeb98ba729c253ad5dee477f32ebf435aa2c42","19","No"
"0xdff6f015aee33742e48bbae5a6c3cbbc9dc0aca0","7524.822702","No"
"0xdffd44e7f455fd46c4c4cc0decacea92627f34a7","110000","No"
"0xdffefb84d9fc348f74053ce8d98ce92fafc00fb8","10896","No"
"0xe0000f92a1bff563075f8bb67c5de9f50af87159","2838.0441","No"
"0xe002a1b1ff8e1e0729aa9f5c6bdbca9c626bee9b","10000","No"
"0xe00459df094dfda79a2831bb02c4d06228fc48e8","1126.17","No"
"0xe005edfec1c067e24ae7778fd84d864d18789f7a","938.99799999","No"
"0xe006dd64837c56d64878ae5de7580fe4938d0de0","15000","No"
"0xe007d497b861aa0a5762acbbac098596ddd9acc7","188","No"
"0xe009e6c92f550966528b5f2dc260c146a8fabaa7","299.74202073","No"
"0xe00b7bb6dc6db013c173a74be785f50fe54ac290","200","No"
"0xe00f1822535344d767e4e39bdf9ddbe6d413d78e","22626.83780103","No"
"0xe01042d8023838ca2bc2dba75fa0ca71b744f6c4","966.39625005","No"
"0xe01224b094baca1cfea409026ea2603e2e2a9753","3","No"
"0xe0133f117fd044af64a43cf06a2c11504bcf2f8e","90.862","No"
"0xe016d0987375212a1d2b4a9c0ef0d3912b0c50a9","419.99999999","No"
"0xe018bcbc53d830fd890f46bd2f111c8a3656d806","400","No"
"0xe01ac109d51c4d30aacabb2cbbf7dd0ddefe07a0","1540","No"
"0xe01dab719506e3c65a4054cbaaab20b840620ce6","36750","No"
"0xe01fede8f1bafb9b3fc8cc31967c2cdb6bc90e3a","299.4057","No"
"0xe021963c666222e04da7e9e3d8e31b20c397364f","9534.84112715","No"
"0xe0281240217276f669100777906108445dda80a2","2007.22676598","No"
"0xe02c6c870949a12f74541a225704494920b4c4d7","40826.72751092","No"
"0xe02e18a503d8feaf369a23643929f7674156bf84","1182","No"
"0xe02fd878736a6601ecfbc8da5cc5c416c2af0041","4.23395842","No"
"0xe039341bd30f19bb9758b87dc71fc31d7419d29a","247421","No"
"0xe03ac6ae454e0387f5ff99db197cef70ebefdc48","263336.62726845","No"
"0xe03bd89163ca927f25374152e3397509701f7b6c","2000","No"
"0xe03ca3b20fd8d366c98f56695089b8dbda687096","1026","No"
"0xe03e359457d65066a4a6d3bd5e215f353507096e","138.76","No"
"0xe03e716617ca4b180f8e193c8e5d1c4676381a01","382.89","No"
"0xe0418c36fbd0b199d19b7b8140262bbb34b08e96","1893.043","No"
"0xe041d7907f88ce40eb683b0a0217c59b356a0e2f","1100","No"
"0xe0547a0dd50dce7b5884e36fd87e7920871099b9","1024.948","No"
"0xe055b11640b05140829eac434744a51c35b16476","2259","No"
"0xe05f619b3852c204b29ed9f3f7bceefd60f98660","423.897428","No"
"0xe061f7b6da91b49851ff5e7d3594963a25737713","3114.3168","No"
"0xe06210285f9e099f9b7b9aac0ac8c6af71e63802","43356.4081857","No"
"0xe064cf6c4dd811f80dd275a01d4d8444059bc4e8","27340.52239821","No"
"0xe0693ef5060c32df8183137d70f7a4eace0a0df4","150170.546","No"
"0xe06a3eb026772a22748e6745365e0fb5fe9adea7","6","No"
"0xe06d75839432b62d9a78b4501a2c850d4ebd8a6b","5906.96324399","No"
