"HolderAddress","Balance","PendingBalanceUpdate"
"0x018289a8db273d01f9d93dc3f22b4d9a39dde3d8","3621.361","No"
"0x018686677aca93e1806f3312ed3b25e76351738a","2324.8866133","No"
"0x0188d543c817df085ce24ecb005698785768bdc9","15986.911","No"
"0x018d2ce9291c3a419cacece7a0ada779b5fb5927","55544.658","No"
"0x01901a03f1daffedf0bc7036aa6d8ddfeb5d0510","1156.55894261","No"
"0x0194b4bdac0acef5759f8c6da59a71d7530b7c13","4536.8716","No"
"0x019a55599db128e8b5f740f816ebfc096db8709f","30","No"
"0x019be0720c727887fefedd281cb6420eca76debf","5075.866","No"
"0x019e09a900d7fa7a5a2d99aeb3765ad2d13e5d23","278.678","No"
"0x01a02178f6f4e449d1844c27ad9ace9c910d786d","11555.688","No"
"0x01aa76f9a1faa330cdc432e14d28798c47103d10","1000","No"
"0x01b0c26b49c8e1a5dcabffe4e1a0f670085187e9","1823.7656","No"
"0x01b318b893cd822ea4876db2873f2add4d21588c","525994.2774","No"
"0x01b4718b96363466db4569ed3f648c149fb033a5","237.40588","No"
"0x01b64a658c313541eb6769b94c93caa2426d23c0","42301.152","No"
"0x01bb1e229f71dfe7983017c0f2e45b1e4f2c6e9a","5.023","No"
"0x01c2b9b8f50fcf513d47af93c91c8e40f0293311","420.028","No"
"0x01c48042dd0a01f3bc22d2fe8d5441cc47bda0d2","219118.43999999","No"
"0x01c5cf4d50fb7dce68878a0873ed082a6f81462d","4622.4396","No"
"0x01c656998bb25ba0edb8afda31a35edbdc9da0d6","10173.1121488","No"
"0x01c847172b0b875b22c01e872ad6cc1bfeee4274","3862","No"
"0x01c87c3474651a05417ce3ea9232c0cd3e282bf9","5417","No"
"0x01d36cea24533bb1d9a925b17bbc4875013f5ad6","1601.3416628","No"
"0x01d3f0f9f92b51526d5c56723ba8f08bf596ec20","5541.98771822","No"
"0x01d8cb4504569a6c4fc591c2cce3e266cbd5b13a","8906","No"
"0x01df13f797c2f1c40420ba27a5a60a5a95d3e3f6","24482.7656915","No"
"0x01e116e4cb02560f307b6a9b0a9271920f5328ed","262","No"
"0x01e1f868dd6b4d86ef7c3ebfc1798196636b312e","11900.31362221","No"
"0x01e2b02fc777d68a8d8770f2061d762c86f02140","2423","No"
"0x01e61c6a4f81522b5fcff8632872118a3985c8a3","109.8","No"
"0x01e902af0780abd04ea579f9305a16f646b509f0","735","No"
"0x01e91d6c1e69f6dbfe2af3c26694f58ef5f5826c","1701.4349847","No"
"0x01e929b4e477d720f38d860728c0e32e2c3b375a","1272.12","No"
"0x01eb1a4955219e5fd7ae6234e82392dfc23448b2","1222","No"
"0x01ef9dfbf204e1e169260cf186b35ba06419049a","7164.28671643","No"
"0x01f0b8468fceb1a41368773b1e74c154964a07fa","2245.36468056","No"
"0x01f6c3ae70b539ab6468172299e4731658bfcc60","409224.89422566","No"
"0x01f7b30b04bdda306ba6aa33eafe1c4859eb2fcc","2836.6864155","No"
"0x01f940ab039de60e511d622c75cc223ba684bda6","3951.935","No"
"0x020221ccf59174bcd8e9a6b648ad0a431c4b5ac8","9056.94742837","No"
"0x020a408cfd4f81df6559f18cb91ae55291587097","2040.5","No"
"0x0210c5d7d9fee009c796921a24d81e846a8563d3","1300","No"
"0x021145d551a39893b53ca54d053e584cee4fe711","428.85722965","No"
"0x0211e1dbb39f64f6db9a9530a7ad2fdd0ac792ad","4005.946","No"
"0x02154fe659c8011d236bdfe33f9e651e1349f0ee","1957.65","No"
"0x021b2835519edc706d61f9055c663d33138f26e8","6647.3228","No"
"0x021d8820715a298317dbd1e4622bf87454c9455e","5578.4935","No"
"0x021f4aa7babb2f66811e43bfe1fca21c368ec106","1436","No"
"0x02209c4ede23e2dfd10850d63b7cbfe67b6ac939","1500","No"
"0x022611f9cbcdbc99fd29d6d02703afc8362fb62b","583.48662323","No"
"0x02262fea88f19565e10c9c11eaf54ebeb8377acf","41.99999999","No"
"0x0228f9326253e8a257a3bb4f8d2cf684da296749","1293","No"
"0x022a7b53630d368006e6d452d8f42743776b829a","1008","No"
"0x022a845ef65de8551e379435334a126b9421fa5e","2044.10431415","No"
"0x022e3167240fc444e16ad708c422392ea8124346","1959.951","No"
